Angle,Wind_Speed,Lift_Calculated,Drag_Calculated,Lift_Data,Drag_Data
2.0,15.8,0.8658871117541431,-0.006688151683166958,2.08,0.17
2.0,15.85,0.8713760812876751,-0.006730548735076154,2.09,0.17
2.0,15.85,0.8713760812876751,-0.006730548735076154,2.09,0.17
2.0,15.85,0.8713760812876751,-0.006730548735076154,2.1,0.17
2.0,15.91,0.8779857371126979,-0.006781602019195057,2.11,0.17
2.0,15.91,0.8779857371126979,-0.006781602019195057,2.1,0.17
2.0,15.85,0.8713760812876751,-0.006730548735076154,2.1,0.17
2.0,15.85,0.8713760812876751,-0.006730548735076154,2.11,0.17
2.0,15.96,0.8835128606208706,-0.0068242937741507005,2.09,0.17
2.0,16.06,0.8946191357844531,-0.006910079151852592,2.09,0.17
2.0,16.01,0.8890573268447891,-0.0068671194850365444,2.09,0.17
2.0,16.01,0.8890573268447891,-0.0068671194850365444,2.1,0.17
2.0,15.91,0.8779857371126979,-0.006781602019195057,2.1,0.18
2.0,15.85,0.8713760812876751,-0.006730548735076154,2.11,0.18
2.0,15.91,0.8779857371126979,-0.006781602019195057,2.11,0.18
2.0,14.31,0.7102747387649319,-0.005486194591761598,2.26,0.22
2.0,14.25,0.7043310432245461,-0.0054402852153624835,2.26,0.22
2.0,14.19,0.6984123211948342,-0.0053945687355028615,2.25,0.22
2.0,14.19,0.6984123211948342,-0.0053945687355028615,2.25,0.22
2.0,14.25,0.7043310432245461,-0.0054402852153624835,2.25,0.22
2.0,14.19,0.6984123211948342,-0.0053945687355028615,2.25,0.22
2.0,14.19,0.6984123211948342,-0.0053945687355028615,2.25,0.22
2.0,14.19,0.6984123211948342,-0.0053945687355028615,2.25,0.22
2.0,14.25,0.7043310432245461,-0.0054402852153624835,2.25,0.22
2.0,14.19,0.6984123211948342,-0.0053945687355028615,2.25,0.21
2.0,14.19,0.6984123211948342,-0.0053945687355028615,2.25,0.22
2.0,14.25,0.7043310432245461,-0.0054402852153624835,2.25,0.22
2.0,14.31,0.7102747387649319,-0.005486194591761598,2.25,0.22
