Angle,Wind_Speed,Lift_Calculated,Drag_Calculated,Lift_Data,Drag_Data
0.0,28.22,-0.8702979920689086,0.18843816672382738,7.9,0.56
0.0,28.25,-0.8721493611442812,0.18883902780551626,7.9,0.56
0.1,28.01,-0.6043414212603443,0.17136675408079366,8.3,0.5
0.1,28.19,-0.6121337087058435,0.1735763312493003,8.33,0.5
0.1,28.1,-0.6082313256070255,0.17246977343065942,8.33,0.5
0.1,28.19,-0.6121337087058435,0.1735763312493003,8.34,0.5
0.1,28.04,-0.6056366695145561,0.1717340340342183,8.34,0.5
0.1,28.1,-0.6082313256070255,0.17246977343065942,8.34,0.5
0.1,28.04,-0.6056366695145561,0.1717340340342183,8.35,0.5
0.1,27.98,-0.6030475595341477,0.1709998672905662,8.35,0.5
0.1,28.07,-0.6069333042967832,0.17210170715084022,8.32,0.5
0.1,28.1,-0.6082313256070255,0.17246977343065942,8.32,0.5
0.1,28.19,-0.6121337087058435,0.1735763312493003,8.34,0.5
0.1,28.22,-0.6134372761281466,0.1739459701819084,8.35,0.5
0.1,27.95,-0.6017550843359661,0.17063337366353604,8.35,0.5
0.1,27.92,-0.6004639956658001,0.17026727319970308,8.39,0.5
0.1,28.1,-0.6082313256070255,0.17246977343065942,8.39,0.5
0.1,28.16,-0.6108315278115556,0.17320708547988942,8.39,0.5
0.1,27.95,-0.6017550843359661,0.17063337366353604,8.39,0.5
0.1,28.04,-0.6056366695145561,0.1717340340342183,8.34,0.5
0.1,28.04,-0.6056366695145561,0.1717340340342183,8.29,0.49
0.1,27.98,-0.6030475595341477,0.1709998672905662,8.29,0.49
1.0,28.04,1.3553124422359757,0.062298638648757176,8.74,0.59
1.0,28.07,1.3582140915941574,0.06243201660591113,8.74,0.6
1.0,28.1,1.3611188437675503,0.06256553718786333,8.72,0.6
1.0,27.86,1.3379677052063164,0.06150136602659651,8.72,0.6
1.0,27.95,1.3466261110526965,0.061899360526084767,8.71,0.6
1.0,28.1,1.3611188437675503,0.06256553718786333,8.71,0.6
1.0,28.01,1.352413895693005,0.06216540331640147,8.68,0.6
1.0,28.07,1.3582140915941574,0.06243201660591113,8.65,0.6
1.0,28.16,1.3669376565599691,0.06283300622616242,8.63,0.6
1.0,28.28,1.3786125159273388,0.06336965580033949,8.63,0.6
1.0,28.04,1.3553124422359757,0.062298638648757176,8.61,0.61
1.0,28.01,1.352413895693005,0.06216540331640147,8.6,0.61
1.0,28.19,1.369851717178995,0.06296695468250933,8.6,0.61
1.0,28.07,1.3582140915941574,0.06243201660591113,8.6,0.61
1.0,28.04,1.3553124422359757,0.062298638648757176,8.58,0.61
1.0,28.1,1.3611188437675503,0.06256553718786333,8.56,0.61
1.0,28.16,1.3669376565599691,0.06283300622616242,8.53,0.6
1.0,28.16,1.3669376565599691,0.06283300622616242,8.53,0.6
1.0,28.1,1.3611188437675503,0.06256553718786333,8.5,0.6
1.0,28.07,1.3582140915941574,0.06243201660591113,8.5,0.6
1.1,27.6,1.4922207767036317,0.05058547421294628,6.17,0.49
1.1,27.6,1.4922207767036317,0.05058547421294628,6.16,0.49
1.1,27.6,1.4922207767036317,0.05058547421294628,6.16,0.49
1.1,27.51,1.4825047692598534,0.05025610683536174,6.16,0.48
1.1,27.54,1.4857399123662467,0.050365776430329544,6.16,0.48
1.1,27.6,1.4922207767036317,0.05058547421294628,6.16,0.48
1.1,27.6,1.4922207767036317,0.05058547421294628,6.16,0.48
1.1,27.66,1.4987157452071478,0.05080565011913778,6.16,0.48
1.1,27.75,1.5084846432739187,0.051136810460127774,6.17,0.49
1.1,27.66,1.4987157452071478,0.05080565011913778,6.18,0.48
1.1,27.63,1.4954664979346233,0.05069550240059517,6.2,0.48
1.1,27.69,1.5019685185212055,0.050915917368574086,6.2,0.48
1.1,27.75,1.5084846432739187,0.051136810460127774,6.2,0.48
1.1,27.69,1.5019685185212055,0.050915917368574086,6.19,0.48
1.1,27.72,1.5052248178767953,0.05102630414890407,6.17,0.48
1.1,27.75,1.5084846432739187,0.051136810460127774,6.17,0.48
1.1,27.78,1.5117479947125747,0.05124743630224518,6.15,0.48
1.1,27.81,1.5150148721927632,0.051358181675256256,6.15,0.48
1.1,27.87,1.5215592052777398,0.051580031013959554,6.15,0.48
1.1,27.87,1.5215592052777398,0.051580031013959554,6.15,0.48
2.0,27.98,2.933011564245558,-0.020974294443912918,9.53,0.67
2.0,27.92,2.920446016830551,-0.02088443680593286,9.57,0.67
2.0,28.04,2.945604086002064,-0.02106434497843247,9.56,0.67
2.0,27.86,2.907907443757043,-0.020794772064492293,9.55,0.67
2.0,27.89,2.91417335850111,-0.020839580323145142,9.55,0.67
2.0,27.89,2.91417335850111,-0.020839580323145142,9.54,0.67
2.0,27.8,2.8953958450250346,-0.02070530021959122,9.52,0.67
2.0,27.8,2.8953958450250346,-0.02070530021959122,9.52,0.67
2.0,27.92,2.920446016830551,-0.02088443680593286,9.52,0.67
2.0,27.77,2.8891501610370924,-0.020660636633342992,9.54,0.67
2.0,27.74,2.882911220634525,-0.02061602127122963,9.53,0.67
2.0,27.95,2.9267254187453666,-0.02092934151285545,9.53,0.67
2.0,27.95,2.9267254187453666,-0.02092934151285545,9.53,0.67
2.0,27.92,2.920446016830551,-0.02088443680593286,9.52,0.68
2.0,27.83,2.9016482725983512,-0.02075001202997432,9.54,0.68
2.0,27.89,2.91417335850111,-0.020839580323145142,9.57,0.68
2.0,27.83,2.9016482725983512,-0.02075001202997432,9.57,0.68
2.0,27.86,2.907907443757043,-0.020794772064492293,9.56,0.68
2.0,27.98,2.933011564245558,-0.020974294443912918,9.53,0.68
2.0,28.13,2.964543445527134,-0.02119978246122334,9.49,0.68
2.1,27.84,3.0316475014121513,-0.02694188399420604,7.06,0.54
2.1,27.78,3.0185941365850804,-0.026825880322690412,7.06,0.54
2.1,27.78,3.0185941365850804,-0.026825880322690412,7.05,0.54
2.1,28.02,3.070976571489831,-0.02729139667440362,7.06,0.54
2.1,27.93,3.051280353526653,-0.027116358771995325,7.06,0.54
2.1,27.72,3.0055689343574197,-0.026710126928783225,7.06,0.54
2.1,27.63,2.9860839358898263,-0.026536966108438295,7.06,0.54
2.1,27.69,2.9990668942183696,-0.026652344085932807,7.06,0.54
2.1,27.72,3.0055689343574197,-0.026710126928783225,7.06,0.54
2.1,27.78,3.0185941365850804,-0.026825880322690412,7.06,0.54
2.1,27.93,3.051280353526653,-0.027116358771995325,7.06,0.54
